tag,description,omitclose
html,HTML 文書のルート（最上位要素）を表すため、ルート要素とも呼ばれます。他のすべての要素は、この要素の子孫として配置しなければなりません。,"false"
base,文書内におけるすべての相対 URL の基点となる URL を指定します。文書内に 1 つだけ置くことができます。,"true"
head,文書に関する機械可読な情報（メタデータ）、たとえばタイトル、スクリプト、スタイルシートなどを含みます。,"false"
link,現在の文書と外部リソースとの関係を指定します。この要素は CSS をリンクするために最もよく使用されますが、他にもサイトアイコン（「ファビコン」スタイルのアイコンやモバイル端末でのホーム画面やアプリのアイコンの両方）を設定するために使用されます。,"true"
meta,"メタデータを表します。これは、他のメタ関連要素 (<base>, <link>, <script>, <style>, <title>) で表すことができないものを表します。","true"
style,文書あるいは文書の一部分のスタイル情報を含みます。 <style> 要素を含んでいる文書のコンテンツに適用される CSS を含みます。,"false"
title,ブラウザーのタイトルバーやページのタブに表示される文書のタイトルを定義します。テキストのみを含めることができます。要素内のタグはすべて無視されます。,"false"
body,HTML 文書のコンテンツを示す要素です。文書中に 1 つだけ配置できます。,"false"
address,これを含んでいる HTML が個人、団体、組織の連絡先を提供していることを示します。,"false"
article,文書、ページ、アプリケーション、サイトなどの中で自己完結しており、（集合したものの中で）個別に配信や再利用を行うことを意図した構成物を表します。例えば、フォーラムの投稿、雑誌や新聞の記事、ブログの記事、商品カード、ユーザーが投稿したコメント、対話型のウィジェットやガジェット、その他の独立したコンテンツの項目が含まれます。,"false"
aside,文書のメインコンテンツと間接的な関係しか持っていない文書の部分を表現します。サイドバーやコールアウトボックスなどを表現するためによく使われます。,"false"
footer,直近の区分コンテンツまたは区分化ルート要素のフッターを表します。フッターには通常、そのセクションの著作者に関する情報、関連文書へのリンク、著作権情報等を含めます。,"false"
header,HTML の <header> 要素は、導入的なコンテンツ、ふつうは導入部やナビゲーション等のグループを表します。見出し要素だけでなく、ロゴ、検索フォーム、作者名、その他の要素を含むこともできます。,"false"
h1,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
h2,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
h3,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
h4,セクションの見出しを 6 段階で表します。<h1> が最上位で、<h6> が最下位です。,"false"
